,id113,id117,id14,id148,id154,id161,id170,id227,id229,id266,id269,id27,id283,id29,id301,id313,id318,id36,id4,id41,id46,id48,id55,id57,id62,id67,id75,id76,id77,id92,id96
id41,42.97979527009496,76.18050853724726,,80.40398583956555,66.51763858601232,59.607795063419374,161.1704928602199,67.58374034457529,55.44548956344119,176.8001204206986,182.5915336676688,,106.80842076275027,,116.61859150820328,16.246598045480415,40.37304642267758,,,,9.647964217584756,42.656864922307626,17.080963694251743,63.70862186549007,72.73986802297621,69.40907037268254,45.22998590537033,16.978431170164104,33.44935163796151,20.39534711772579,39.085808211402046
id46,156.64894233769172,71.5908567418217,,34.694922737637896,44.595577523282756,38.33503591040514,54.07853954526916,23.927953892676204,25.134599509502777,80.4268838304511,129.84761661658393,,12.800375190399,,9.729560538564435,25.203144122205558,88.47322613032829,,,,,,,,,,,,,78.77727731140885,64.27856856595571
id48,14.863095761705875,33.570164114287316,,40.48542704265535,28.823834327895586,17.32249742633451,120.04374327853048,28.98267939113552,18.495016021649416,136.03847813536464,141.8133737415766,,64.25920759957668,,74.45600293363113,27.17748499466489,14.830436250659966,,,,,,,21.100299168495226,32.37211029574686,27.116220699057592,7.4935305430751376,41.49190583716298,12.503199590504833,42.24964803040534,8.506080535909852
id55,48.144672600671306,97.31804830492601,,47.73939665221225,58.80844147030984,52.20572133844085,104.48142169196335,26.65479123066468,108.49538220802111,115.3483483317099,134.16627451086762,,69.29865196530663,,16.10652564347103,48.20897300058498,114.20468663779663,,,,,,,,,,,,29.817133349749003,29.468984594645445,12.998298334607219
id57,26.838200946581765,13.127039338653605,,26.034973312747134,21.85851947737957,7.52270137461448,100.90031221527265,20.353311574541998,19.921749890634,117.14398451432545,122.8719665913551,,43.63490949009993,,54.44429153205971,48.274279632588524,28.889679301051327,,,,,,,,18.782015333823995,9.210344727533261,19.807188720260147,60.93543406754399,31.59160687587767,61.153185561294,27.118832669211727
id62,43.18071155314702,14.259119848635807,,8.13774790169935,9.273639888612523,16.471272155137008,88.44717354543772,7.142161498059318,18.05466628884578,104.19206552268983,109.98132189545782,,36.8773669755907,,44.719267197028536,56.85525547770718,44.630329473732345,,,,,,,,,10.057894908975738,34.859429499060944,73.78243100494859,44.79005832771376,74.61767897178431,34.10720629925479
id67,35.40993488695486,7.725967877866446,,16.863411989638,15.679069963082268,10.119454101449358,93.11236550779859,13.674396485352945,18.68774708170954,109.22031376822163,114.97840863544953,,37.46834339772343,,47.34714846997196,53.61562490703016,37.23122571952311,,,,,,,,,,27.69999503610064,68.29431619834844,38.83988961106867,68.7696674620597,31.172523850090037
id75,8.662561713889588,32.92704909522828,,42.95174557931877,33.072818283158696,18.73051973705264,120.60146673325517,32.77999509001173,23.970415745373003,136.79242578314052,142.5355462278228,,63.36873414889389,,74.2495238467455,30.737071082527482,9.775591014251154,,,,,,,,,,,,12.040739179967316,41.34848564519992,15.832429094937241
id76,35.97588075491861,74.02775017414058,,81.85078830564181,69.21179923608868,58.661363732827645,161.40263288292087,69.78207255301568,58.06768545402791,177.4675370891703,183.23529959463593,,104.51514655276753,,115.3373974543375,22.490918088417523,33.553106047135124,,,,,,,,,,,,29.46535677706956,3.4180798364280838,41.23879821328171
id77,10.5876857848222,44.626702257064466,,52.919358124749216,41.25394783645008,29.274285541787762,131.9522342298691,41.473330108060686,30.61886216911237,148.04573850361334,153.80831288774817,,75.2262837241247,,85.90333467774848,19.899898570549638,8.31638119938712,,,,,,,,,,,,,29.969385213215826,15.7345309026282
id92,35.528706013203035,74.97243857484752,,81.1180790976741,68.07205904824279,63.27440965913713,160.65946082226893,67.43469929326831,56.3709565579169,176.88103346290865,182.34271253701633,,105.15560265553944,,118.44136989394687,22.052708257782033,33.887468022783715,,,,,,,,,,,,,,42.752190598343844
id96,,,,89.95339716074264,,,,101.57030924764013,113.53713908946571,13.937825453436854,16.540801766232907,,67.77605493198168,,64.03824280060668,162.29670047678454,147.37300325433617,,,,,,,,,,,,,,
