frame,id1,id2,id3,id4,id5,id6,id7,id8,id9,id10,id11,id12,id13,id14,id15,id16,id17,id18,id19,id20,id22,id24,id26,id31,id34,id37,id38,id39,id45,id48,id49,id50,id51,id52,id53,id54,id55,id57,id59,id60,id61,id62,id65,id68,id69,id71,id72,id73,id74,id75
25,"(268.15, 349.86)",,"(259.48, 161.42)","(427.58, 444.03)","(144.76, 42.33)","(289.33, 270.63)","(511.66, 369.31)","(398.36, 60.01)","(258.98, 44.28)","(474.24, 9.34)","(134.78, 275.73)","(506.38, 452.04)","(357.62, 8.06)","(529.58, 432.62)","(506.13, 366.38)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,"(268.21, 350.45)",,"(258.90, 160.93)","(427.62, 444.02)","(144.06, 42.34)","(289.35, 270.62)","(511.80, 369.31)","(399.38, 59.86)","(258.64, 44.44)","(474.23, 9.31)","(135.33, 274.50)","(506.34, 452.07)","(357.55, 8.01)","(529.12, 431.31)","(506.18, 366.30)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,"(267.73, 350.46)",,"(258.20, 160.03)","(427.65, 444.00)","(143.17, 42.67)","(289.34, 270.59)","(512.36, 369.32)","(400.83, 59.49)","(258.62, 44.57)","(474.23, 9.26)","(135.82, 273.52)","(506.39, 452.13)","(357.61, 8.04)","(528.98, 430.01)","(506.28, 366.38)",,"(313.65, 10.87)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,"(267.36, 350.45)",,"(257.38, 158.76)","(427.65, 444.01)","(142.32, 43.05)","(289.34, 270.61)","(512.36, 369.29)","(401.83, 59.31)","(259.17, 45.27)","(474.19, 9.20)","(136.07, 272.07)","(506.37, 452.11)","(357.66, 8.14)","(528.97, 429.13)","(506.22, 366.35)","(477.97, 12.50)","(313.65, 10.88)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,"(267.05, 350.43)",,"(257.36, 158.50)","(427.66, 444.01)","(141.13, 43.15)","(289.32, 270.64)","(512.34, 369.22)","(402.72, 59.36)","(259.39, 45.26)","(474.22, 9.23)","(136.35, 271.12)","(506.37, 452.10)","(357.65, 8.12)","(529.01, 428.56)","(506.27, 366.41)","(477.94, 12.53)","(313.63, 10.87)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,"(266.86, 350.40)",,"(256.69, 157.17)","(427.61, 444.03)","(140.39, 43.13)","(289.31, 270.66)","(512.40, 369.23)","(403.15, 59.34)","(259.40, 45.20)","(474.21, 9.25)","(136.24, 269.62)","(506.35, 452.07)","(357.64, 8.12)","(528.50, 427.52)","(506.35, 366.50)","(477.96, 12.50)","(313.64, 10.88)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,"(266.33, 350.59)",,"(256.54, 156.41)","(427.61, 444.05)","(139.46, 42.69)","(289.33, 270.65)","(512.40, 369.24)","(403.70, 59.14)","(259.93, 45.05)","(474.19, 9.22)","(136.42, 268.55)","(506.34, 452.08)","(357.62, 8.11)","(528.43, 427.43)","(506.33, 366.45)","(477.98, 12.51)","(313.67, 10.83)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,"(266.02, 351.21)",,"(255.91, 155.54)","(427.64, 444.06)","(138.69, 42.62)","(289.42, 270.62)","(512.40, 369.25)","(404.50, 59.00)","(260.50, 44.88)","(474.20, 9.23)","(136.76, 267.02)","(506.35, 452.06)","(357.65, 8.16)","(528.34, 427.41)","(506.33, 366.41)","(477.99, 12.52)",,"(257.24, 75.25)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,"(265.85, 351.39)",,"(255.79, 154.35)","(427.65, 444.06)","(137.92, 42.41)","(289.42, 270.60)","(512.20, 369.23)","(405.30, 58.84)","(262.22, 43.69)","(474.16, 9.17)","(137.13, 265.44)","(506.36, 452.09)","(357.63, 8.12)","(528.21, 427.24)","(506.24, 366.53)","(477.99, 12.45)",,"(257.66, 74.81)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,"(265.56, 351.20)",,"(255.47, 153.38)","(427.62, 444.07)","(137.16, 42.07)","(289.41, 270.59)","(512.21, 369.27)","(406.26, 58.95)","(263.97, 42.95)","(474.18, 9.19)","(137.66, 263.89)","(506.35, 452.07)","(357.63, 8.06)","(528.01, 427.22)","(506.37, 366.46)","(478.03, 12.43)",,"(257.87, 73.97)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,"(265.00, 351.51)",,"(255.02, 152.29)","(427.62, 444.07)","(136.80, 42.30)","(289.42, 270.59)","(512.10, 369.27)","(407.29, 59.05)","(264.75, 42.38)","(474.19, 9.23)","(137.87, 262.02)","(506.36, 452.05)","(357.65, 8.12)","(528.00, 427.21)","(506.31, 366.45)","(478.04, 12.43)",,"(258.40, 72.96)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,"(264.67, 351.79)",,"(254.88, 151.27)","(427.56, 443.99)","(136.74, 42.49)","(289.55, 270.63)","(511.68, 369.26)","(408.17, 59.26)","(265.59, 41.75)","(474.18, 9.26)","(138.10, 260.45)","(506.37, 452.09)","(357.58, 8.09)","(527.96, 427.26)","(506.30, 366.57)","(477.96, 12.40)",,"(259.15, 71.93)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,"(264.59, 352.29)",,"(254.74, 150.43)","(427.56, 444.00)","(136.59, 42.48)","(289.54, 270.57)","(511.77, 369.30)","(408.89, 59.40)","(266.23, 41.39)","(474.15, 9.19)","(138.37, 258.97)","(506.36, 452.07)","(357.48, 8.04)","(527.95, 427.25)","(506.34, 366.56)","(478.02, 12.32)",,"(259.66, 70.55)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,"(264.55, 352.71)",,"(254.92, 149.57)","(427.57, 444.00)","(136.47, 42.70)","(289.57, 270.56)","(511.80, 369.30)","(409.49, 59.99)","(267.14, 40.49)","(474.18, 9.25)","(138.53, 257.21)","(506.36, 452.08)","(357.56, 8.10)","(527.95, 427.26)","(506.34, 366.58)","(477.91, 12.28)",,"(260.79, 69.10)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
