confidence,min_matching,brownian_pos_noise,lost_track_buffer,asso_func,vial_count_error,per_id_coverage_loss,short_track_count,per_frame_id_variance
0.1,0.01,10.0,90,diou,9.0,184.609756097561,0,15.292787174637109
0.1,0.01,10.0,90,giou,7.0,194.0681818181818,2,15.274986937974841
0.1,0.01,10.0,120,diou,9.0,184.609756097561,0,15.292787174637109
0.1,0.01,10.0,120,giou,7.0,194.0681818181818,2,15.274986937974841
0.1,0.01,10.0,180,diou,9.0,184.609756097561,0,15.292787174637109
0.1,0.01,10.0,180,giou,7.0,194.0681818181818,2,15.274986937974841
0.1,0.01,10.0,240,diou,9.0,184.609756097561,0,15.292787174637109
0.1,0.01,10.0,240,giou,7.0,194.0681818181818,2,15.274986937974841
0.1,0.01,20.0,30,diou,12.0,191.0,2,15.28829586403517
0.1,0.01,20.0,30,giou,8.0,196.86666666666667,2,15.263247902179135
0.1,0.01,20.0,60,diou,9.0,184.609756097561,0,15.292787174637109
0.1,0.01,20.0,60,giou,7.0,194.02272727272725,2,15.27048760990696
0.1,0.01,20.0,90,diou,9.0,184.609756097561,0,15.292787174637109
0.1,0.01,20.0,90,giou,7.0,194.0681818181818,2,15.274986937974841
0.1,0.01,20.0,120,diou,9.0,184.609756097561,0,15.292787174637109
0.1,0.01,20.0,120,giou,7.0,194.0681818181818,2,15.274986937974841
0.1,0.01,20.0,180,diou,9.0,184.609756097561,0,15.292787174637109
0.1,0.01,20.0,180,giou,7.0,194.0681818181818,2,15.274986937974841
0.1,0.01,20.0,240,diou,9.0,184.609756097561,0,15.292787174637109
0.1,0.01,20.0,240,giou,7.0,194.0681818181818,2,15.274986937974841
0.1,0.05,1.0,30,diou,6.0,194.1590909090909,3,15.259638507663896
0.1,0.05,1.0,30,giou,11.0,207.26530612244898,5,15.243465408836789
0.1,0.05,1.0,60,diou,5.0,191.1627906976744,1,15.262494445933855
0.1,0.05,1.0,60,giou,8.0,202.40425531914894,3,15.242043434233947
0.1,0.05,1.0,90,diou,5.0,191.1627906976744,1,15.262494445933855
0.1,0.05,1.0,90,giou,8.0,202.40425531914894,3,15.242043434233947
0.1,0.05,1.0,120,diou,5.0,191.1627906976744,1,15.262494445933855
0.1,0.05,1.0,120,giou,8.0,202.40425531914894,3,15.242043434233947
0.1,0.05,1.0,180,diou,5.0,191.1627906976744,1,15.262494445933855
0.1,0.05,1.0,180,giou,8.0,202.44680851063828,3,15.24651195641539
0.1,0.05,1.0,240,diou,5.0,191.1627906976744,1,15.262494445933855
0.1,0.05,1.0,240,giou,8.0,202.44680851063828,3,15.24651195641539
0.1,0.05,3.0,30,diou,6.0,194.11363636363637,2,15.257543346635906
0.1,0.05,3.0,30,giou,11.0,207.22448979591837,5,15.241392012114192
0.1,0.05,3.0,60,diou,5.0,191.11627906976744,1,15.260399284905866
0.1,0.05,3.0,60,giou,8.0,202.36170212765956,3,15.23997003751135
0.1,0.05,3.0,90,diou,5.0,191.11627906976744,1,15.260399284905866
0.1,0.05,3.0,90,giou,8.0,202.40425531914894,3,15.244457168052946
0.1,0.05,3.0,120,diou,5.0,191.11627906976744,1,15.260399284905866
0.1,0.05,3.0,120,giou,8.0,202.40425531914894,3,15.244457168052946
0.1,0.05,3.0,180,diou,5.0,191.11627906976744,1,15.260399284905866
0.1,0.05,3.0,180,giou,8.0,202.4255319148936,3,15.246692189193798
0.1,0.05,3.0,240,diou,5.0,191.11627906976744,1,15.260399284905866
0.1,0.05,3.0,240,giou,8.0,202.4255319148936,3,15.246692189193798
0.1,0.05,5.0,30,diou,6.0,194.11363636363637,2,15.257543346635906
0.1,0.05,5.0,30,giou,11.0,207.22448979591837,5,15.241392012114192
0.1,0.05,5.0,60,diou,5.0,191.11627906976744,1,15.260399284905866
0.1,0.05,5.0,60,giou,8.0,202.36170212765956,3,15.23997003751135
0.1,0.05,5.0,90,diou,5.0,191.11627906976744,1,15.260399284905866
0.1,0.05,5.0,90,giou,8.0,202.40425531914894,3,15.244457168052946
0.1,0.05,5.0,120,diou,5.0,191.11627906976744,1,15.260399284905866
0.1,0.05,5.0,120,giou,8.0,202.40425531914894,3,15.244457168052946
0.1,0.05,5.0,180,diou,5.0,191.11627906976744,1,15.260399284905866
0.1,0.05,5.0,180,giou,8.0,202.4255319148936,3,15.246692189193798
0.1,0.05,5.0,240,diou,5.0,191.11627906976744,1,15.260399284905866
0.1,0.05,5.0,240,giou,8.0,202.4255319148936,3,15.246692189193798
0.1,0.05,10.0,30,diou,5.0,191.13953488372093,1,15.256121372033064
0.1,0.05,10.0,30,giou,10.0,204.83333333333331,4,15.23997003751135
0.1,0.05,10.0,60,diou,5.0,191.11627906976744,1,15.260399284905866
0.1,0.05,10.0,60,giou,8.0,202.36170212765956,3,15.23997003751135
0.1,0.05,10.0,90,diou,5.0,191.11627906976744,1,15.260399284905866
0.1,0.05,10.0,90,giou,8.0,202.40425531914894,3,15.244457168052946
0.1,0.05,10.0,120,diou,5.0,191.11627906976744,1,15.260399284905866
0.1,0.05,10.0,120,giou,8.0,202.40425531914894,3,15.244457168052946
0.1,0.05,10.0,180,diou,5.0,191.11627906976744,1,15.260399284905866
0.1,0.05,10.0,180,giou,8.0,202.4255319148936,3,15.246692189193798
0.1,0.05,10.0,240,diou,5.0,191.11627906976744,1,15.260399284905866
0.1,0.05,10.0,240,giou,8.0,202.4255319148936,3,15.246692189193798
0.1,0.05,20.0,30,diou,5.0,191.13953488372093,1,15.256121372033064
0.1,0.05,20.0,30,giou,11.0,207.26530612244898,5,15.224905891315746
0.1,0.05,20.0,60,diou,5.0,191.11627906976744,1,15.260399284905866
0.1,0.05,20.0,60,giou,9.0,204.89583333333331,4,15.224905891315746
0.1,0.05,20.0,90,diou,5.0,191.11627906976744,1,15.260399284905866
0.1,0.05,20.0,90,giou,9.0,204.9375,4,15.229396587610626
0.1,0.05,20.0,120,diou,5.0,191.11627906976744,1,15.260399284905866
0.1,0.05,20.0,120,giou,9.0,204.9375,4,15.229396587610626
0.1,0.05,20.0,180,diou,5.0,191.11627906976744,1,15.260399284905866
