frame,id1,id2,id3,id4,id5,id6,id7,id8,id9,id10,id11,id12,id13,id14,id15,id16,id17,id18,id19,id20,id21,id22,id23,id24,id25,id27,id29,id30,id31,id32,id33,id34,id35,id36,id37,id39,id41,id42,id44,id45,id47,id49,id50,id51
23,"(252.53, 358.50)",,"(178.13, 353.78)","(11.25, 355.00)","(299.47, 351.36)","(129.44, 341.24)","(356.01, 294.65)","(41.37, 431.48)","(167.22, 262.14)","(272.43, 428.70)","(250.66, 429.65)",,"(175.19, 428.60)","(4.93, 409.58)",,,"(44.71, 396.45)",,"(46.91, 423.63)",,"(385.86, 433.74)","(34.13, 431.61)","(161.90, 425.82)","(61.59, 415.28)","(173.46, 395.18)","(355.51, 388.98)",,,,,,,,,,,,,,,,,,
24,"(252.09, 357.12)","(412.64, 307.37)","(176.68, 352.58)","(10.56, 352.71)","(299.31, 348.79)","(129.50, 338.24)","(355.70, 291.95)",,"(167.04, 258.04)","(273.50, 429.38)","(250.34, 429.86)","(147.96, 427.20)","(172.27, 429.19)","(4.20, 407.86)",,,"(44.48, 394.17)",,"(49.10, 422.78)",,"(385.09, 432.39)",,,"(60.58, 413.21)","(173.07, 393.50)","(355.14, 386.97)",,,,,,,,,,,,,,,,,,
25,"(252.13, 355.45)","(412.58, 306.64)","(174.95, 351.13)","(10.38, 350.96)","(299.47, 346.56)","(129.19, 334.78)","(355.21, 289.51)",,"(165.41, 253.62)","(272.41, 430.29)","(250.23, 430.02)","(153.09, 426.40)","(170.29, 428.74)","(4.02, 406.23)",,,"(45.09, 392.06)",,"(50.80, 422.19)",,"(385.34, 432.27)",,,"(60.59, 411.20)","(172.84, 391.89)","(354.91, 384.68)",,,,,,,,,,,,,,,,,,
26,"(251.87, 353.84)","(412.07, 304.30)","(172.82, 350.06)","(10.54, 348.58)","(299.34, 344.22)","(129.14, 331.37)","(355.32, 287.27)",,"(164.84, 250.98)","(272.14, 430.23)","(250.22, 430.05)","(153.26, 427.94)","(167.79, 428.30)","(3.76, 404.05)",,"(368.06, 429.75)","(45.45, 390.45)",,"(52.14, 421.08)",,"(385.31, 432.22)",,,"(60.59, 409.44)","(173.01, 388.91)","(355.15, 381.35)",,,,,,,,,,,,,,,,,,
27,"(251.66, 352.86)","(411.44, 301.71)","(170.27, 347.96)","(10.35, 347.37)","(298.68, 340.38)","(128.75, 327.79)","(354.68, 285.27)",,"(163.36, 249.35)","(272.04, 430.12)","(250.14, 430.12)","(153.23, 427.68)","(166.02, 428.18)","(3.27, 402.42)",,"(368.86, 429.57)","(45.47, 388.49)",,"(52.69, 420.64)",,"(385.27, 432.50)","(36.14, 431.40)",,"(60.14, 407.41)","(172.53, 386.10)","(355.05, 378.37)",,,,,,,,,,,,,,,,,,
28,"(251.50, 350.33)","(410.69, 298.96)","(169.50, 346.37)","(10.27, 345.92)","(298.33, 336.57)","(129.35, 324.10)","(354.57, 283.04)",,"(163.11, 247.99)","(272.59, 430.29)","(250.12, 430.10)","(153.28, 427.45)","(165.97, 428.10)","(3.31, 400.53)",,"(369.67, 429.28)","(45.65, 386.84)",,"(52.68, 420.63)",,"(385.25, 432.25)","(35.06, 431.41)",,"(60.10, 405.73)","(172.22, 383.23)","(355.28, 374.47)",,,,,,,,,,,,,,,,,,
29,"(251.57, 349.15)","(410.48, 298.23)","(168.83, 344.17)","(10.24, 344.38)","(297.83, 333.26)","(129.92, 321.01)","(354.69, 280.80)",,"(162.88, 245.80)","(272.79, 430.32)","(250.05, 430.10)","(153.65, 427.49)","(165.78, 427.80)","(3.32, 398.97)",,"(370.05, 429.54)","(45.72, 384.81)","(143.68, 427.22)","(52.55, 420.59)",,"(385.19, 432.30)","(29.79, 431.21)",,"(59.66, 403.77)","(171.72, 379.96)","(355.26, 370.85)",,,,,,,,,,,,,,,,,,
30,"(251.49, 348.53)","(409.97, 296.05)","(167.10, 341.45)","(9.95, 342.09)","(297.07, 330.59)","(131.44, 318.47)","(354.35, 278.67)",,"(163.51, 242.24)","(272.82, 430.31)","(250.04, 430.08)","(153.34, 427.55)","(164.16, 426.81)","(2.81, 396.44)",,"(369.96, 429.43)","(45.61, 382.51)","(143.34, 427.74)","(52.56, 420.59)",,"(384.90, 432.05)","(27.29, 431.27)",,"(58.75, 401.86)","(171.55, 376.55)","(355.44, 367.14)",,,,,,,,,,,,,,,,,,
31,"(251.52, 347.99)","(409.41, 294.34)","(165.36, 337.69)","(9.73, 339.70)","(296.47, 327.38)","(131.94, 316.26)","(354.38, 276.48)","(37.63, 430.70)","(163.69, 238.54)","(272.80, 430.31)","(250.12, 429.95)","(153.29, 427.63)","(162.90, 427.83)","(2.52, 394.22)",,"(369.93, 429.39)","(46.08, 381.42)","(144.04, 427.84)","(53.90, 419.94)",,"(384.47, 431.97)","(24.54, 431.62)",,"(58.49, 399.66)","(171.25, 374.20)","(355.58, 364.46)",,,,,,,,,,,,,,,,,,
32,"(251.47, 347.16)","(408.56, 291.47)","(163.98, 334.49)","(9.45, 337.64)","(295.30, 323.59)","(132.05, 313.82)","(354.38, 273.97)","(39.55, 430.21)","(164.71, 235.05)","(272.80, 430.29)",,"(152.41, 427.64)","(160.37, 428.11)","(2.55, 391.66)",,"(369.98, 429.39)","(46.42, 379.87)","(144.25, 427.86)","(55.39, 419.74)","(280.96, 361.20)","(384.51, 431.94)","(23.22, 431.52)",,"(58.18, 398.11)","(170.89, 372.27)","(355.68, 360.92)",,,,,,,,,,,,,,,,,,
33,"(251.11, 346.70)","(408.32, 291.30)","(162.75, 331.74)","(8.91, 335.32)","(294.15, 321.25)","(131.08, 310.62)","(354.11, 271.41)","(41.10, 430.10)","(165.12, 231.55)","(272.81, 430.33)",,"(152.87, 427.53)","(159.02, 427.93)","(2.18, 389.65)",,"(369.89, 429.43)","(47.12, 378.01)","(143.89, 427.18)","(57.09, 419.62)","(279.98, 359.85)","(384.33, 431.93)","(21.32, 431.22)",,"(57.83, 396.21)","(170.53, 371.20)","(355.78, 357.70)",,,,,,,,,,,,,,,,,,
34,"(251.11, 346.76)","(408.27, 291.03)","(161.05, 328.05)","(8.52, 333.28)","(292.86, 318.72)","(130.55, 308.19)","(354.18, 268.82)","(43.30, 429.33)","(166.19, 228.14)","(272.85, 430.32)",,"(152.81, 428.02)","(159.48, 427.61)","(2.14, 387.71)",,"(370.51, 428.91)","(48.23, 376.49)","(142.23, 428.06)","(58.52, 418.58)","(279.99, 359.47)","(384.78, 431.77)","(20.52, 431.20)",,"(57.58, 394.36)","(170.46, 370.52)","(356.03, 354.30)",,,,,,,,,,,,,,,,,,
35,"(251.63, 347.81)","(408.25, 291.02)","(160.56, 325.20)","(7.88, 331.16)","(291.82, 316.72)","(130.04, 305.37)","(354.12, 266.37)","(45.91, 428.43)","(166.53, 223.82)","(272.77, 430.32)",,"(152.87, 428.02)","(159.49, 427.47)","(2.22, 385.47)",,"(370.80, 428.22)","(49.41, 375.30)","(141.93, 427.62)","(59.78, 418.11)","(279.22, 359.09)","(385.97, 431.88)","(20.48, 431.23)",,"(56.94, 392.12)","(170.32, 370.01)","(355.96, 350.96)","(273.83, 360.01)",,,,,,,,,,,,,,,,,
36,"(251.66, 347.89)","(408.22, 290.63)","(160.22, 323.69)","(7.94, 329.72)","(290.32, 314.25)","(129.10, 301.71)","(353.90, 264.42)","(46.65, 428.31)","(168.05, 220.10)","(272.95, 430.34)",,"(153.33, 427.98)","(158.28, 426.70)","(1.92, 383.31)",,"(371.06, 428.08)","(50.25, 373.33)","(141.78, 427.43)","(60.66, 417.25)","(279.09, 356.76)","(386.51, 431.69)","(20.24, 431.02)",,"(56.48, 390.11)","(170.06, 369.01)","(356.40, 348.22)","(284.97, 362.56)",,,,,,,,,,,,,,,,,
37,"(251.65, 347.79)","(408.20, 290.40)","(160.05, 321.96)","(7.75, 327.58)","(289.26, 312.43)","(128.76, 297.79)","(353.92, 261.90)","(45.95, 427.87)","(168.97, 215.18)","(272.97, 430.36)",,"(153.74, 428.08)","(158.07, 427.42)","(2.16, 381.05)",,"(370.35, 428.40)","(50.98, 371.93)","(141.95, 427.13)","(61.32, 416.72)","(278.82, 355.10)","(387.64, 431.57)","(19.29, 430.96)",,"(56.21, 388.29)","(159.59, 350.24)","(357.30, 345.76)","(285.91, 362.80)",,,,,,,,,,,,,,,,,
38,"(251.72, 347.88)","(407.89, 289.70)","(160.06, 320.93)","(6.86, 325.73)","(289.18, 311.08)","(127.99, 294.82)","(353.87, 259.12)","(46.26, 427.35)","(169.85, 211.23)","(272.96, 430.40)",,"(153.56, 428.22)","(156.54, 425.34)","(2.25, 379.02)",,"(369.77, 428.31)","(51.54, 370.44)","(141.52, 426.39)","(61.90, 415.75)","(277.87, 351.36)","(388.41, 431.39)","(17.99, 430.93)",,"(56.14, 387.03)","(160.40, 330.45)","(357.61, 344.09)","(285.77, 361.97)",,,,,,,,,,,,,,,,,
39,"(251.56, 347.76)","(407.38, 288.21)","(160.07, 321.16)","(6.73, 323.79)","(289.16, 307.99)","(127.76, 291.16)","(353.90, 256.38)","(46.76, 426.63)","(170.41, 206.92)",,,"(153.44, 428.20)","(156.44, 424.81)","(2.18, 376.52)",,"(368.68, 428.33)","(51.91, 368.50)","(141.60, 425.87)","(62.61, 414.86)","(278.28, 348.67)","(389.07, 431.48)","(15.12, 430.15)",,"(56.15, 385.67)","(166.28, 338.41)","(357.82, 342.16)","(285.79, 360.50)",,,,,,,,,,,,,,,,,
40,"(251.73, 347.85)","(407.37, 287.08)","(160.27, 318.43)","(6.53, 321.62)","(289.54, 304.37)","(127.42, 288.13)","(353.83, 254.19)","(47.50, 425.74)","(170.85, 204.15)",,,"(154.00, 428.89)","(155.41, 424.61)","(1.96, 374.57)",,"(367.80, 428.72)","(51.95, 366.56)","(141.89, 425.58)","(63.04, 414.09)","(278.39, 346.70)","(390.89, 432.39)","(13.82, 429.94)",,"(56.61, 384.27)","(154.23, 355.74)","(358.38, 340.28)","(286.50, 358.43)",,,,,,,,,,,,,,,,,
41,"(251.78, 348.12)","(407.84, 285.07)","(161.26, 314.32)","(6.43, 319.22)","(289.90, 301.57)","(127.45, 284.08)","(353.95, 251.97)","(47.85, 424.56)","(170.94, 201.87)",,,"(153.85, 428.97)","(154.35, 424.09)","(2.44, 372.61)",,"(367.23, 428.46)","(51.79, 364.14)","(141.89, 425.37)","(63.17, 412.97)","(278.36, 343.50)","(392.92, 433.72)","(10.63, 429.59)",,"(57.25, 382.22)","(145.31, 361.96)","(358.94, 337.48)","(286.68, 356.62)",,,,,,,,,,,,,,,,,
42,"(251.68, 347.56)","(408.10, 283.59)","(161.61, 309.93)","(6.29, 317.25)","(290.13, 299.00)","(127.19, 280.36)","(354.31, 249.39)","(48.62, 422.34)","(171.20, 200.48)",,,"(153.44, 428.55)","(153.88, 421.22)","(2.29, 370.13)",,"(367.01, 428.40)","(51.79, 361.86)","(143.50, 424.98)","(63.32, 410.95)","(278.50, 340.80)","(394.65, 432.77)","(7.03, 429.04)",,"(57.08, 380.47)","(144.57, 362.15)","(359.75, 335.63)","(286.87, 355.20)",,,,,,,,,,,,,,,,,
43,"(251.66, 347.81)","(408.22, 282.37)","(161.66, 305.18)","(6.37, 315.01)","(290.83, 296.54)","(127.73, 276.23)","(354.36, 246.99)","(50.69, 419.58)","(171.20, 199.95)",,,"(153.27, 428.55)","(153.16, 418.89)","(2.29, 368.63)",,"(367.05, 428.45)","(51.36, 359.93)","(144.23, 423.21)","(63.34, 408.98)","(278.60, 337.95)","(395.62, 433.87)","(4.95, 429.37)",,"(57.41, 378.75)","(144.57, 361.64)","(360.84, 333.52)","(286.91, 353.38)",,,,,,,,,,,,,,,,,
44,"(251.59, 347.79)","(408.22, 281.11)","(162.61, 301.89)","(6.54, 312.57)","(291.56, 292.51)","(127.77, 274.00)","(354.70, 244.63)","(51.45, 417.55)","(171.19, 199.98)",,,"(153.24, 428.63)","(152.01, 416.02)","(2.23, 367.05)",,"(366.86, 428.62)","(51.13, 357.47)","(144.71, 423.18)","(63.59, 407.02)","(279.28, 334.99)","(395.83, 434.23)","(3.64, 429.56)",,"(57.60, 377.67)","(144.63, 361.27)","(361.88, 330.42)","(287.08, 352.01)",,,,,,,,,,,,,,,,,
45,"(251.17, 344.48)","(408.21, 280.11)","(162.70, 297.88)","(6.55, 310.30)","(292.05, 289.74)","(127.75, 270.87)","(355.35, 242.10)","(53.06, 415.85)","(171.21, 199.95)",,,,"(152.44, 413.04)","(2.22, 365.24)",,"(368.16, 407.38)","(50.53, 355.45)","(144.69, 421.83)","(63.53, 404.63)","(279.39, 331.51)","(395.91, 434.70)","(3.63, 429.44)",,"(58.19, 375.98)","(144.29, 361.06)","(363.21, 327.87)","(287.41, 348.59)",,,,,,,,,,,,,,,,,
