frame,id1,id2,id3,id4,id5,id6,id7,id8,id9,id10,id11,id12,id13,id14,id15,id16,id17,id18,id19,id20,id21,id22,id23,id24,id25,id26,id27,id28,id29,id30,id31,id32,id33,id34,id35,id36,id37,id38,id39,id40,id41,id42,id43,id44,id45,id46,id47,id48,id49,id50,id51,id52,id53,id54,id55,id56,id57,id58,id59,id60,id61,id62,id63,id64,id65,id66,id67,id68,id69,id70,id71,id72,id73,id74,id75,id76,id77,id78,id79,id80,id81,id82,id83,id84,id85,id86,id87,id88,id89,id90,id91,id92,id93,id94,id95,id96
20,"(637.81, 184.73)","(302.91, 20.77)","(643.00, 159.18)","(410.96, 164.38)","(151.06, 133.09)","(164.93, 188.68)","(280.11, 167.65)","(305.50, 147.46)","(36.98, 200.82)","(553.64, 150.56)","(73.40, 59.80)","(265.74, 234.76)","(27.11, 149.50)","(560.50, 54.30)","(23.34, 29.13)","(544.93, 24.17)","(235.00, 67.39)","(72.29, 22.40)","(439.15, 447.71)","(410.51, 444.83)",,,"(386.54, 446.72)","(438.38, 31.20)",,"(542.10, 67.06)","(671.86, 24.90)",,"(377.44, 22.40)","(190.92, 21.53)","(16.54, 122.88)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,"(637.83, 187.54)","(303.11, 20.83)","(643.01, 159.19)","(411.28, 164.10)","(151.05, 133.13)","(164.97, 188.65)","(280.08, 167.64)","(305.58, 147.55)","(37.48, 198.71)","(554.41, 148.54)","(73.67, 58.78)","(265.62, 233.11)","(27.08, 149.53)","(559.71, 53.02)","(23.32, 29.10)","(545.60, 24.70)","(234.98, 67.42)","(71.95, 22.05)","(439.22, 447.69)","(410.28, 445.14)",,,"(386.51, 446.76)","(438.47, 31.50)",,"(542.61, 66.52)","(671.90, 24.96)",,"(377.46, 22.33)","(190.87, 21.56)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,"(637.77, 190.09)","(303.19, 20.87)","(643.07, 159.17)","(412.50, 163.36)","(151.07, 133.10)","(164.98, 188.66)","(280.10, 167.64)","(305.60, 147.61)","(37.73, 197.61)","(555.28, 146.02)","(74.39, 57.26)","(265.32, 231.49)","(27.05, 149.54)","(559.75, 51.54)","(23.30, 29.07)","(545.58, 24.73)","(234.99, 67.44)","(71.56, 21.87)","(439.25, 447.67)","(410.21, 445.14)",,,"(386.51, 446.76)","(438.24, 32.35)",,,"(671.88, 25.05)",,"(377.47, 22.35)","(190.75, 21.49)",,"(603.61, 67.42)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,"(636.97, 192.70)","(303.27, 21.16)","(642.99, 159.20)","(413.94, 162.71)","(151.11, 133.34)","(165.00, 188.63)","(280.08, 167.69)","(305.55, 147.59)","(38.25, 196.86)","(556.16, 144.14)","(74.37, 55.97)","(265.02, 229.33)","(27.07, 149.53)","(559.91, 49.17)","(23.34, 29.09)","(545.56, 24.76)","(234.93, 67.49)","(71.11, 21.10)","(439.23, 447.67)","(410.28, 445.17)",,,"(386.60, 446.80)","(438.13, 32.62)",,,"(671.54, 25.15)",,"(377.68, 22.30)","(190.78, 21.56)","(16.68, 122.94)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,"(636.21, 194.12)","(303.40, 21.40)","(643.00, 159.23)","(415.00, 161.31)","(151.04, 133.35)","(165.04, 188.68)","(280.17, 167.67)","(305.56, 147.71)","(38.41, 196.47)","(556.75, 142.20)","(74.56, 54.54)","(264.66, 227.66)","(26.97, 149.42)","(559.67, 47.15)","(23.37, 29.16)","(545.56, 24.57)","(234.75, 67.48)","(70.57, 20.53)","(439.28, 447.71)","(410.70, 445.15)",,,"(386.62, 446.82)","(437.96, 33.20)","(255.48, 11.87)",,"(670.89, 24.92)",,"(378.59, 22.25)","(191.16, 21.73)",,"(603.54, 67.39)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,"(634.99, 195.58)","(303.59, 21.63)","(643.05, 159.21)","(416.99, 160.06)","(151.06, 133.33)","(165.11, 188.67)","(280.18, 167.63)","(305.61, 147.71)","(38.45, 196.41)","(557.30, 140.00)","(74.45, 53.24)","(264.50, 226.17)","(26.93, 149.12)","(559.86, 44.82)","(23.41, 29.18)","(544.56, 24.00)","(234.71, 67.48)","(70.40, 20.39)","(439.30, 447.69)","(410.69, 445.14)",,,"(386.66, 446.80)","(437.59, 33.92)","(255.50, 11.78)",,"(670.89, 24.55)",,"(378.88, 21.99)","(191.15, 21.74)","(16.53, 123.07)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,"(633.91, 197.17)","(303.80, 21.79)","(643.05, 159.23)","(418.42, 158.74)","(151.07, 133.32)","(165.13, 188.66)","(280.15, 167.66)","(305.55, 147.75)","(38.55, 196.28)","(557.91, 137.57)","(74.27, 51.55)","(264.15, 223.61)","(26.94, 149.16)","(560.25, 42.67)","(23.41, 29.18)","(543.87, 23.95)","(234.76, 67.46)","(70.16, 19.96)","(439.28, 447.68)","(410.75, 445.16)",,,"(386.64, 446.78)","(437.09, 35.01)","(255.41, 11.69)","(515.51, 66.43)","(671.01, 24.11)",,"(379.43, 21.59)","(191.18, 21.73)","(16.51, 123.10)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,"(632.87, 198.82)","(304.01, 22.04)","(643.04, 159.23)","(420.04, 157.33)","(151.09, 133.32)","(165.18, 188.66)","(280.11, 167.75)","(305.49, 147.77)","(38.61, 196.09)","(558.45, 135.01)","(73.99, 49.74)","(263.46, 221.40)","(27.01, 149.42)","(560.03, 40.64)","(23.39, 29.21)","(543.13, 24.35)","(234.70, 67.45)",,"(439.22, 447.65)","(410.73, 445.27)",,,"(386.59, 446.77)","(436.83, 35.54)",,,"(671.05, 24.07)",,"(380.01, 21.41)","(190.75, 21.68)","(16.67, 123.04)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,"(631.38, 200.67)","(304.24, 22.23)","(643.01, 159.22)","(421.70, 155.76)","(151.09, 133.39)","(165.13, 188.90)","(280.04, 168.27)","(305.46, 147.77)","(38.58, 195.93)","(558.89, 132.72)","(73.32, 48.50)","(262.60, 219.20)","(26.98, 149.43)","(559.90, 38.49)","(23.37, 29.19)","(542.72, 24.67)","(234.73, 67.42)",,"(439.24, 447.61)","(410.75, 445.09)",,,"(386.62, 446.74)","(436.43, 35.47)",,"(548.56, 55.39)","(670.75, 23.74)",,"(380.56, 20.89)","(189.57, 20.89)","(16.75, 122.84)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,"(630.30, 202.81)","(304.43, 22.85)","(643.00, 159.19)","(423.35, 153.87)","(151.11, 133.39)","(165.02, 189.13)","(280.08, 168.81)","(305.37, 147.83)","(38.72, 195.85)","(559.11, 130.14)","(72.90, 46.67)","(261.93, 217.42)","(27.01, 149.43)","(560.36, 36.48)","(23.33, 29.21)","(542.26, 24.68)","(234.75, 67.40)",,"(439.24, 447.63)","(410.78, 444.84)","(438.53, 22.71)","(304.33, 65.06)","(386.61, 446.73)","(435.83, 35.30)",,"(548.73, 54.58)","(670.70, 23.47)",,"(380.67, 20.92)","(188.91, 20.64)","(16.80, 122.81)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,"(629.11, 204.82)","(304.76, 23.38)","(643.01, 159.17)","(425.07, 152.17)","(151.14, 133.49)","(164.88, 189.18)","(280.03, 168.97)","(305.14, 147.85)","(38.94, 195.85)","(558.75, 128.08)","(71.78, 45.63)","(261.38, 215.38)","(27.06, 149.42)","(560.61, 34.31)","(23.28, 29.23)","(542.05, 24.54)","(234.75, 67.44)",,"(439.12, 447.63)","(410.93, 444.72)","(438.68, 22.62)",,"(386.50, 446.69)","(434.85, 34.43)",,"(549.18, 53.51)","(670.33, 23.07)",,"(381.03, 21.05)","(188.03, 20.40)","(16.97, 122.72)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
