t,x,y
5.4,71.67,306.19
5.433,71.67,309.34
5.467,71.87,312.4
5.5,71.87,315.41
5.533,72.06,319.12
5.567,72.06,322.2
5.6,72.17,325.36
5.633,72.64,328.4
5.667,72.88,331.41
5.7,73.66,352.18
5.7,73.23,335.08
5.733,73.79,352.12
5.733,73.8,338.22
5.767,73.73,352.06
5.767,74.15,340.88
5.8,74.42,342.06
5.833,75.21,346.62
5.867,75.1,347.81
5.9,75.02,348.31
5.933,74.65,349.51
